period,period_label,series_id,series_name,value,unit,source,dataset_id,frequency,model_use,concept_note,aggregation,value_variable_code,value_variable_name,series_code,revision_reference
1996,1996,93,Populacao residente,163768.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1997,1997,93,Populacao residente,166187.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1998,1998,93,Populacao residente,168606.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1999,1999,93,Populacao residente,171029.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2000,2000,93,Populacao residente,174696.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2001,2001,93,Populacao residente,177004.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2002,2002,93,Populacao residente,179228.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2003,2003,93,Populacao residente,181378.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2004,2004,93,Populacao residente,183470.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2005,2005,93,Populacao residente,185518.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2006,2006,93,Populacao residente,187535.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2007,2007,93,Populacao residente,189459.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,93,Populacao residente,191335.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,93,Populacao residente,193174.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,93,Populacao residente,194749.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,93,Populacao residente,196159.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2012,2012,93,Populacao residente,197671.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2013,2013,93,Populacao residente,199227.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2014,2014,93,Populacao residente,200811.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2015,2015,93,Populacao residente,202404.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2016,2016,93,Populacao residente,203872.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2017,2017,93,Populacao residente,205212.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2018,2018,93,Populacao residente,206529.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2019,2019,93,Populacao residente,207900.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2020,2020,93,Populacao residente,209165.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2021,2021,93,Populacao residente,210104.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2022,2022,93,Populacao residente,210863.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2023,2023,93,Populacao residente,211695.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1996,1996,9808,PIB - valores correntes,854764.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1997,1997,9808,PIB - valores correntes,952089.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1998,1998,9808,PIB - valores correntes,1002351.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1999,1999,9808,PIB - valores correntes,1087710.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2000,2000,9808,PIB - valores correntes,1199092.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2001,2001,9808,PIB - valores correntes,1315755.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2002,2002,9808,PIB - valores correntes,1488787.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2003,2003,9808,PIB - valores correntes,1717950.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2004,2004,9808,PIB - valores correntes,1957751.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2005,2005,9808,PIB - valores correntes,2170585.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2006,2006,9808,PIB - valores correntes,2409450.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2007,2007,9808,PIB - valores correntes,2720263.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,9808,PIB - valores correntes,3109803.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,9808,PIB - valores correntes,3333039.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,9808,PIB - valores correntes,3885847.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,9808,PIB - valores correntes,4376382.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2012,2012,9808,PIB - valores correntes,4814760.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2013,2013,9808,PIB - valores correntes,5331619.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2014,2014,9808,PIB - valores correntes,5778953.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2015,2015,9808,PIB - valores correntes,5995787.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2016,2016,9808,PIB - valores correntes,6269328.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2017,2017,9808,PIB - valores correntes,6592743.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2018,2018,9808,PIB - valores correntes,6996861.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2019,2019,9808,PIB - valores correntes,7394332.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2020,2020,9808,PIB - valores correntes,7609597.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2021,2021,9808,PIB - valores correntes,9012142.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2022,2022,9808,PIB - valores correntes,10079677.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2023,2023,9808,PIB - valores correntes,10943345.0,Milhoes de Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1996,1996,9810,PIB - variacao em volume,2.2,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1997,1997,9810,PIB - variacao em volume,3.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1998,1998,9810,PIB - variacao em volume,0.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1999,1999,9810,PIB - variacao em volume,0.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2000,2000,9810,PIB - variacao em volume,4.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2001,2001,9810,PIB - variacao em volume,1.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2002,2002,9810,PIB - variacao em volume,3.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2003,2003,9810,PIB - variacao em volume,1.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2004,2004,9810,PIB - variacao em volume,5.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2005,2005,9810,PIB - variacao em volume,3.2,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2006,2006,9810,PIB - variacao em volume,4.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2007,2007,9810,PIB - variacao em volume,6.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,9810,PIB - variacao em volume,5.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,9810,PIB - variacao em volume,-0.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,9810,PIB - variacao em volume,7.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,9810,PIB - variacao em volume,4.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2012,2012,9810,PIB - variacao em volume,1.9,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2013,2013,9810,PIB - variacao em volume,3.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2014,2014,9810,PIB - variacao em volume,0.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2015,2015,9810,PIB - variacao em volume,-3.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2016,2016,9810,PIB - variacao em volume,-3.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2017,2017,9810,PIB - variacao em volume,1.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2018,2018,9810,PIB - variacao em volume,1.7,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2019,2019,9810,PIB - variacao em volume,1.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2020,2020,9810,PIB - variacao em volume,-3.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2021,2021,9810,PIB - variacao em volume,4.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2022,2022,9810,PIB - variacao em volume,3.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2023,2023,9810,PIB - variacao em volume,3.2,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1996,1996,9811,PIB - deflator - variacao anual,18.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1997,1997,9811,PIB - deflator - variacao anual,7.7,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1998,1998,9811,PIB - deflator - variacao anual,4.9,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1999,1999,9811,PIB - deflator - variacao anual,8.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2000,2000,9811,PIB - deflator - variacao anual,5.6,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2001,2001,9811,PIB - deflator - variacao anual,8.2,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2002,2002,9811,PIB - deflator - variacao anual,9.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2003,2003,9811,PIB - deflator - variacao anual,14.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2004,2004,9811,PIB - deflator - variacao anual,7.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2005,2005,9811,PIB - deflator - variacao anual,7.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2006,2006,9811,PIB - deflator - variacao anual,6.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2007,2007,9811,PIB - deflator - variacao anual,6.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,9811,PIB - deflator - variacao anual,8.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,9811,PIB - deflator - variacao anual,7.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,9811,PIB - deflator - variacao anual,8.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,9811,PIB - deflator - variacao anual,8.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2012,2012,9811,PIB - deflator - variacao anual,7.9,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2013,2013,9811,PIB - deflator - variacao anual,7.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2014,2014,9811,PIB - deflator - variacao anual,7.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2015,2015,9811,PIB - deflator - variacao anual,7.6,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2016,2016,9811,PIB - deflator - variacao anual,8.1,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2017,2017,9811,PIB - deflator - variacao anual,3.8,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2018,2018,9811,PIB - deflator - variacao anual,4.4,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2019,2019,9811,PIB - deflator - variacao anual,4.3,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2020,2020,9811,PIB - deflator - variacao anual,6.5,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2021,2021,9811,PIB - deflator - variacao anual,13.0,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2022,2022,9811,PIB - deflator - variacao anual,8.6,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2023,2023,9811,PIB - deflator - variacao anual,5.2,%,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1996,1996,9812,PIB per capita - valores correntes,5219.36,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1997,1997,9812,PIB per capita - valores correntes,5729.02,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1998,1998,9812,PIB per capita - valores correntes,5944.93,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
1999,1999,9812,PIB per capita - valores correntes,6359.8,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2000,2000,9812,PIB per capita - valores correntes,6863.88,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2001,2001,9812,PIB per capita - valores correntes,7433.48,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2002,2002,9812,PIB per capita - valores correntes,8306.67,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2003,2003,9812,PIB per capita - valores correntes,9471.66,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2004,2004,9812,PIB per capita - valores correntes,10670.69,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2005,2005,9812,PIB per capita - valores correntes,11700.13,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2006,2006,9812,PIB per capita - valores correntes,12848.0,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2007,2007,9812,PIB per capita - valores correntes,14358.06,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2008,2008,9812,PIB per capita - valores correntes,16253.18,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2009,2009,9812,PIB per capita - valores correntes,17254.08,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2010,2010,9812,PIB per capita - valores correntes,19953.1,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
2011,2011,9812,PIB per capita - valores correntes,22310.38,Reais,IBGE SIDRA,CNA 6784,annual,brazil_annual_context,Annual official Brazil macro context from CNA 6784.,annual_official,,,,
