period,period_label,series_id,series_name,value,unit,source,dataset_id,frequency,model_use,concept_note,proxy_used,aggregation,value_variable_code,value_variable_name,series_code,revision_reference
2007,2007,93,Populacao residente,189459.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2008,2008,93,Populacao residente,191335.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2009,2009,93,Populacao residente,193174.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2010,2010,93,Populacao residente,194749.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2011,2011,93,Populacao residente,196159.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2012,2012,93,Populacao residente,197671.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2013,2013,93,Populacao residente,199227.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2014,2014,93,Populacao residente,200811.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2015,2015,93,Populacao residente,202404.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2016,2016,93,Populacao residente,203872.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2017,2017,93,Populacao residente,205212.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2018,2018,93,Populacao residente,206529.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2019,2019,93,Populacao residente,207900.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2020,2020,93,Populacao residente,209165.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2021,2021,93,Populacao residente,210104.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2022,2022,93,Populacao residente,210863.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2023,2023,93,Populacao residente,211695.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
1996,1996,93404,Despesa de consumo das familias,103.235,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1997,1997,93404,Despesa de consumo das familias,106.37,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1998,1998,93404,Despesa de consumo das familias,105.6025,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1999,1999,93404,Despesa de consumo das familias,106.0,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2000,2000,93404,Despesa de consumo das familias,110.2775,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2001,2001,93404,Despesa de consumo das familias,111.1275,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2002,2002,93404,Despesa de consumo das familias,112.5925,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2003,2003,93404,Despesa de consumo das familias,111.97749999999999,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2004,2004,93404,Despesa de consumo das familias,116.37,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2005,2005,93404,Despesa de consumo das familias,121.5175,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2006,2006,93404,Despesa de consumo das familias,127.94,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2007,2007,93404,Despesa de consumo das familias,136.095,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2008,2008,93404,Despesa de consumo das familias,144.895,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2009,2009,93404,Despesa de consumo das familias,151.35000000000002,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2010,2010,93404,Despesa de consumo das familias,160.78,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2011,2011,93404,Despesa de consumo das familias,168.525,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2012,2012,93404,Despesa de consumo das familias,174.4225,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2013,2013,93404,Despesa de consumo das familias,180.4775,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2014,2014,93404,Despesa de consumo das familias,184.54000000000002,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2015,2015,93404,Despesa de consumo das familias,178.60250000000002,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2016,2016,93404,Despesa de consumo das familias,171.7475,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2017,2017,93404,Despesa de consumo das familias,175.1475,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2018,2018,93404,Despesa de consumo das familias,179.29,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2019,2019,93404,Despesa de consumo das familias,183.945,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2020,2020,93404,Despesa de consumo das familias,175.54999999999998,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2021,2021,93404,Despesa de consumo das familias,180.73749999999998,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2022,2022,93404,Despesa de consumo das familias,188.23250000000002,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2023,2023,93404,Despesa de consumo das familias,194.3325,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2000,2000,93404,Despesa de consumo das familias,754332.711508246,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2001,2001,93404,Despesa de consumo das familias,822655.8544001289,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2002,2002,93404,Despesa de consumo das familias,895614.4327528495,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2003,2003,93404,Despesa de consumo das familias,1035030.1683011958,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2004,2004,93404,Despesa de consumo das familias,1147361.7681947094,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2005,2005,93404,Despesa de consumo das familias,1277026.9828584273,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2006,2006,93404,Despesa de consumo das familias,1411686.2794611938,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2007,2007,93404,Despesa de consumo das familias,1585632.3035661874,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2008,2008,93404,Despesa de consumo das familias,1809793.9711751866,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2009,2009,93404,Despesa de consumo das familias,2011763.0546221174,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2010,2010,93404,Despesa de consumo das familias,2278735.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2011,2011,93404,Despesa de consumo das familias,2573419.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2012,2012,93404,Despesa de consumo das familias,2883929.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2013,2013,93404,Despesa de consumo das familias,3213817.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2014,2014,93404,Despesa de consumo das familias,3555352.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2015,2015,93404,Despesa de consumo das familias,3747870.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2016,2016,93404,Despesa de consumo das familias,3939208.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2017,2017,93404,Despesa de consumo das familias,4156152.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2018,2018,93404,Despesa de consumo das familias,4423548.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2019,2019,93404,Despesa de consumo das familias,4705528.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2020,2020,93404,Despesa de consumo das familias,4700085.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2021,2021,93404,Despesa de consumo das familias,5415523.0,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2022,2022,93404,Despesa de consumo das familias,6356657.665000001,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
2023,2023,93404,Despesa de consumo das familias,6886025.570240398,1_000_000 BRL,IBGE SCN annual workbook,SCN 2023 tab05,annual,rck_official_current_reference,Annual SCN current-price household consumption reference.,,annual_official,,,tab05:B:consumo_familias:valor_corrente,Sistema de Contas Nacionais 2023
